s_P_0,determinant0,s_P_1,determinant1
1.1049335370219997e-13,-0.8857149955360175,8.386367398384775e-13,-0.8857149955360175
2.6353531964730935e-17,-0.8653847733605956,5.971610643927517e-18,-0.8653847733605956
1.8441604032921197e-14,-0.8457460964033702,1.1608944854556102e-13,-0.8457460964033702
5.836094466258018e-19,-0.8267609079573255,2.000534610627079e-15,-0.8267609079573255
6.803494925704641e-14,-0.8083934722170798,5.80416117390758e-13,-0.8083934722170798
5.599851442769578e-15,-0.7906103524005216,5.058023180455321e-14,-0.7906103524005216
6.567673321868655e-15,-0.7733809397652924,6.426916503138301e-14,-0.7733809397652924
3.6791753330470885e-16,-0.7566764477613902,8.577367508771214e-15,-0.7566764477613902
2.1241154384274574e-15,-0.7404699042249276,2.1399310962075755e-14,-0.7404699042249276
5.1453734082792385e-14,-0.7247365099832185,4.4338791427564724e-13,-0.7247365099832185
6.966721238325552e-14,-0.709452665448751,6.129745004278468e-13,-0.709452665448751
6.588662883016863e-15,-0.6945964953882356,6.13797636577008e-14,-0.6945964953882356
2.371384843137513e-14,-0.6801474473755889,2.1256356897007454e-13,-0.6801474473755889
8.909561430149192e-16,-0.6660862910906754,3.546930018715656e-15,-0.6660862910906754
5.749718373509235e-15,-0.652394783833237,4.553410111282656e-14,-0.652394783833237
8.039403109479038e-14,-0.6390560159988014,6.872237143306739e-13,-0.6390560159988014
2.189945569279018e-14,-0.6260538758621403,1.9640372113146253e-13,-0.6260538758621403
6.963012544967071e-15,-0.6133733876954968,5.4187844346032123e-14,-0.6133733876954968
1.0321175688436681e-13,-0.6010002230595625,8.97476454667778e-13,-0.6010002230595625
9.741198622281231e-15,-0.5889209372814439,9.682258290153845e-14,-0.5889209372814439
2.8328540875404638e-14,-0.5771229818998742,2.6127625956875245e-13,-0.5771229818998742
8.390140111187166e-15,-0.5655942740193585,6.395585926378158e-14,-0.5655942740193585
2.008640630385953e-14,-0.5543234257906288,1.8349439576083244e-13,-0.5543234257906288
6.485789849004608e-16,-0.5432997691936466,6.656495424291312e-15,-0.5432997691936466
4.237313491816703e-14,-0.5325131321828454,3.8164984353988285e-13,-0.5325131321828454
3.054647196683315e-14,-0.5219538029518049,2.5417488664616403e-13,-0.5219538029518049
5.927601850803871e-14,-0.5116127270503612,5.344882206349852e-13,-0.5116127270503612
3.295983498468212e-14,-0.5014811132319742,3.0160694336004156e-13,-0.5014811132319742
1.253682976324298e-16,-0.4915507136141097,1.416275231977367e-15,-0.4915507136141097
1.497622783165785e-14,-0.481813671294394,1.3221009328653882e-13,-0.481813671294394
5.925390251207408e-15,-0.472262491650447,5.1938523648701096e-14,-0.472262491650447
7.734541792361721e-14,-0.4628900843458701,6.836784098257232e-13,-0.4628900843458701
5.469714952966839e-15,-0.45368959860061536,4.9663576908415905e-14,-0.45368959860061536
1.2612934499492341e-14,-0.4446546048717658,1.0873672017083116e-13,-0.4446546048717658
1.7099091516855415e-14,-0.43577886931133536,1.5132030052507284e-13,-0.43577886931133536
1.3157079597326373e-14,-0.42705653085013784,1.219444032761176e-13,-0.42705653085013784
6.363292919008766e-14,-0.41848194932966015,5.692216572353131e-13,-0.41848194932966015
2.9627369089934695e-16,-0.41004969116373036,2.3991326761739326e-15,-0.41004969116373036
6.529615938071668e-14,-0.4017546342989777,5.861187362394846e-13,-0.4017546342989777
7.649145373849813e-14,-0.3935918143550832,6.890799590988932e-13,-0.3935918143550832
8.901421412794062e-15,-0.38555651503004196,7.819638024404329e-14,-0.38555651503004196
2.3366453202448e-14,-0.3776441805126486,2.1043808501203622e-13,-0.3776441805126486
4.327711299447717e-14,-0.3698504811008253,3.882121909688759e-13,-0.3698504811008253
1.2527078739527837e-14,-0.3621712433474767,1.1277846986846552e-13,-0.3621712433474767
1.1247747003990887e-13,-0.354602453408496,1.0112435005278243e-12,-0.354602453408496
6.4195809852215404e-15,-0.347140269617031,5.786842386844236e-14,-0.347140269617031
1.0180603414403017e-13,-0.33978099158257197,9.163105944088763e-13,-0.33978099158257197
9.836036644194898e-15,-0.3325210632941157,8.842051694550537e-14,-0.3325210632941157
3.41058158971712e-14,-0.3253570634701641,3.073019423640297e-13,-0.3253570634701641
8.812158071998316e-14,-0.3182856958529807,7.926464346694551e-13,-0.3182856958529807
8.436592979324327e-14,-0.31130379557016025,7.582219545871385e-13,-0.31130379557016025
2.202836380596513e-14,-0.30440829559800714,1.9796902102726052e-13,-0.30440829559800714
1.2387362762073752e-13,-0.2975962517644658,1.1148460664430726e-12,-0.2975962517644658
9.684516580506893e-16,-0.29086482634401556,8.58395652532783e-15,-0.29086482634401556
2.5078316114496734e-17,-0.2842112585362637,2.2478190463975674e-16,-0.2842112585362637
1.3643458679195166e-14,-0.27763291087095093,1.2275378175808294e-13,-0.27763291087095093
1.0278584176817949e-13,-0.2711272280462396,9.242654876439824e-13,-0.2711272280462396
1.565518673007241e-13,-0.2646916987869403,1.4089656307262312e-12,-0.2646916987869403
9.334106245237214e-14,-0.2583239625037819,8.402213277097155e-13,-0.2583239625037819
2.2031146150990578e-14,-0.2520216814778036,1.9765152401363528e-13,-0.2520216814778036
5.4680599098364204e-17,-0.24578263554123322,4.622615913552603e-16,-0.24578263554123322
3.156783738051635e-14,-0.23960460956638785,2.844918369509085e-13,-0.23960460956638785
3.9704883704889504e-14,-0.23348551830393144,3.5877463554558e-13,-0.23348551830393144
1.798721702392372e-14,-0.22742331630417784,1.6096882045104384e-13,-0.22742331630417784
4.9765804097419964e-14,-0.2214160158939384,4.475275302092952e-13,-0.2214160158939384
1.9538888821378849e-13,-0.21546168374474503,1.757321375439115e-12,-0.21546168374474503
